mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
170558,Ghanshyam Singh Lodhi,Elected,26-06-2022,In Office,First Term,Rampur,Uttar Pradesh,Bharatiya Janata Party,Male,Information Not Available,Information Not Available,0,0,0,51,0.873239437, Data corresponds to the period from 01-06-2019 to 11-08-2023.,7.75885681,0.589336405,61.83259391,0.788702577,11.92130258,0.497060154,48.78312981,0.82861928,Lok Sabha
170503,Babul Supriya Baral (Babul Supriyo),Elected,23-05-2019,22-10-2021,Second Term,Asansol,West Bengal,Bharatiya Janata Party,Male,Graduate,B.Com (Hons.),52,0,N/A,0,0.235294118,"This MP was a minister from May 30, 2019 to July 07, 2021. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 11-08-2023.",0.808731809,N/A,14.48648649,0.788702577,0.736842105,N/A,8.710526316,0.658292056,Lok Sabha
170073,Ram Chandra Paswan,Elected,23-05-2019,21-07-2019,Fourth Term,Samastipur,Bihar,Lok Jan Shakti Party,Male,Matric,Matriculate,61,2,0,0,0.76, Data corresponds to the period from 01-06-2019 to 11-08-2023.,5.318548387,0.149193548,14.29032258,0.788702577,5.114285714,0.228571429,12,0.851323711,Lok Sabha
170471,Mulayam Singh Yadav,Elected,23-05-2019,10-10-2022,Seventh Term,Mainpuri,Uttar Pradesh,Samajwadi Party,Male,Post Graduate,"B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",83,1,0,0,0.619791667, Data corresponds to the period from 01-06-2019 to 11-08-2023.,36.35182016,1.102406682,144.1059687,0.788702577,44.67342773,0.964450185,98.76267381,0.82861928,Lok Sabha
170424,Akhilesh Yadav,Elected,23-05-2019,22-03-2022,Fourth Term,Azamgarh,Uttar Pradesh,Samajwadi Party,Male,Post Graduate,"B.E., M.E.; Educated at University of Mysore, Mysore, Karnataka",50,5,0,0,0.317073171, Data corresponds to the period from 01-06-2019 to 11-08-2023.,32.25355914,0.747723486,119.793727,0.788702577,39.41625207,0.662728027,81.40630182,0.82861928,Lok Sabha
170450,Afzal Ansari,Elected,23-05-2019,29-04-2023,Second Term,Ghazipur,Uttar Pradesh,Bahujan Samaj Party,Male,Post Graduate,"Educated at Post Graduate College, Ghazipur",70,3,0,0,0.726086957, Data corresponds to the period from 01-06-2019 to 11-08-2023.,41.54574929,1.224559891,176.1763209,0.788702577,53.83172715,1.070510791,124.9006204,0.82861928,Lok Sabha
170072,Radha Mohan Singh,Elected,23-05-2019,In Office,Sixth Term,Purvi Champaran,Bihar,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at M.S. College, Bihar University, Motihari, Bihar",73,3,0,0,0.809716599, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,38.62184874,2.061344538,141.1168067,0.851323711,Lok Sabha
170070,Ravi Shankar Prasad,Elected,23-05-2019,In Office,First Term,Patna Sahib,Bihar,Bharatiya Janata Party,Male,Post Graduate,"B.A.Hons., M.A. (Pol.Science), LL.B.; Educated at Patna University",68,2,0,0,0.69924812,"This MP was a minister from May 30, 2019 to July 07, 2021. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 11-08-2023.",18.21223625,1.20941922,114.3205137,0.788702577,16.34285714,1.6,83.77142857,0.851323711,Lok Sabha
170124,K.C. Patel,Elected,23-05-2019,In Office,Second Term,Valsad,Gujarat,Bharatiya Janata Party,Male,Graduate,M.B.B.S.,74,5,0,0,0.870445344, Data corresponds to the period from 01-06-2019 to 11-08-2023.,42.65199929,1.503726557,191.4075709,0.788702577,27.92181818,0.758181818,184.4327273,0.863440703,Lok Sabha
170314,Bishweswar Tudu,Elected,23-05-2019,In Office,First Term,Mayurbhanj,Odisha,Bharatiya Janata Party,Male,Diploma Course,"Diploma in Electrical Engineering, Educated at UGIE Rourkela, Odisha",58,6,0,0,0.877192982,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 11-08-2023.",24.43976303,0.294307337,77.08705717,0.788702577,23.7,0.15,66.45,0.786958238,Lok Sabha
